NAME                           VERSION                                TYPE        
adduser                        3.153ubuntu1                           deb          
apt                            3.2.0                                  deb          
apt-utils                      3.2.0                                  deb          
base-files                     14ubuntu6.1                            deb          
base-passwd                    3.6.8                                  deb          
bash                           5.3-2ubuntu1                           deb          
bash-completion                1:2.16.0-8build1                       deb          
bsdutils                       1:2.41.3-3ubuntu2                      deb          
ca-certificates                20260601~26.04.1                       deb          
catatonit                      0.2.1-2build1                          deb          
coreutils                      9.5-1ubuntu2+0.0.0~ubuntu25            deb          
coreutils-from-uutils          0.0.0~ubuntu25                         deb          
cron                           3.0pl1-200ubuntu1                      deb          
cron-daemon-common             3.0pl1-200ubuntu1                      deb          
curl                           8.18.0-1ubuntu2.3                      deb          
dash                           0.5.12-12ubuntu3                       deb          
debconf                        1.5.92                                 deb          
debianutils                    5.23.2build1                           deb          
diffutils                      1:3.12-1                               deb          
dirmngr                        2.4.8-4ubuntu3                         deb          
dpkg                           1.23.7ubuntu1                          deb          
e2fsprogs                      1.47.2-3ubuntu4                        deb          
findutils                      4.10.0-3build2                         deb          
gcc-16-base                    16-20260322-1ubuntu1                   deb          
github.com/GehirnInc/crypt     v0.0.0-20230320061759-8cc1b52080c5     go-module    
github.com/canonical/go-flags  v0.0.0-20230403090104-105d09a091b8     go-module    
github.com/canonical/pebble    v1.32.1-0.20260630051629-e583e44ebd02  go-module    
github.com/canonical/x-go      v0.0.0-20230522092633-7947a7587f5b     go-module    
github.com/gorilla/mux         v1.8.1                                 go-module    
github.com/gorilla/websocket   v1.5.1                                 go-module    
github.com/pkg/term            v1.1.0                                 go-module    
gnu-coreutils                  9.7-3ubuntu2                           deb          
gnupg                          2.4.8-4ubuntu3                         deb          
gnupg-l10n                     2.4.8-4ubuntu3                         deb          
gnupg-utils                    2.4.8-4ubuntu3                         deb          
golang.org/x/net               v0.40.0                                go-module    
golang.org/x/sys               v0.33.0                                go-module    
golang.org/x/term              v0.32.0                                go-module    
gopkg.in/tomb.v2               v2.0.0-20161208151619-d5d1b5820637     go-module    
gopkg.in/yaml.v2               v2.4.0                                 go-module    
gopkg.in/yaml.v3               v3.0.1                                 go-module    
gpg                            2.4.8-4ubuntu3                         deb          
gpg-agent                      2.4.8-4ubuntu3                         deb          
gpg-wks-client                 2.4.8-4ubuntu3                         deb          
gpgconf                        2.4.8-4ubuntu3                         deb          
gpgsm                          2.4.8-4ubuntu3                         deb          
gpgv                           2.4.8-4ubuntu3                         deb          
grep                           3.12-1                                 deb          
gzip                           1.14-1~exp2ubuntu1.1                   deb          
hostname                       3.25build1                             deb          
init-system-helpers            1.69                                   deb          
